file_name,text
0001.png,"a claymation style Musk deer in Mossy Forest landscape at Small hours, 3D render, smooth texture"
0002.png,"a claymation style The Truman Show, a man discovers his entire life has been a reality TV show, 3D character"
0003.png,"a claymation style Death, the Grim Reaper stands amidst withering flowers, signifying transformation, rebirth, and change"
0004.png,"a claymation style a Stock car in The Mirror Maze landscape at Dusk, stylized 3D vehicle"
0005.png,"a stopmotion style Romeo and Juliet, two young lovers from feuding families face tragic consequences, 3D scene"
0006.png,"a claymation style Gorgon, snake-haired, petrifying, serpentine, monstrous, Medusa-like, stone-gazing, cursed"
0007.png,"a claymation style a Wolf playing guitar in a club, rock band, concert, cute 3D character portrait"
0008.png,"a claymation style masterpiece, a Danish boy in Atlantis landscape at Tea time, highly detailed 3D render"
0009.png,"a claymation style Kasha, corpse-eating cat, cat-like, fire-wielding, supernatural, monstrous, Yokai, otherworldly"
0010.png,"a claymation style a Dominican kid playing guitar in a club, rock band, concert, 3D character portrait"
0011.png,"a claymation style a bartender Pig behind a counter, Atoll at Mid-morning, stylized 3D character asset"
0012.png,"a claymation style Strigoi, vampiric, undead, cursed, night-stalking, draining, Nosferatu-like, feral, eerie"
0013.png,"a claymation style The Forgotten Portal, a hidden portal leads to a realm lost in time, adventurer uncover mysteries"
0014.png,"a claymation style Exchanging Gifts, present unwrapping, joyful surprises, stockings by the fireplace, sharing love"
0015.png,"a claymation style Dia de los Muertos Day of the Dead, colorful skull masks, sugar skull art, altars and offerings"
0016.png,"a claymation style Civetta, owl-like, shapeshifting, guardian, wise, nocturnal, watchful, mystic, omen"
0017.png,"a claymation style Mushroom Forest, giant toadstools, friendly critters, glowing fungi, fairy lights, magic air"
0018.png,"a claymation style Monachella, nun-like, ghostly, haunting, veiled, ethereal, supernatural, mourning, silent"
0019.png,"a claymation style Amusement park, colorful rides, stylized 3D landscape render"
